Reading,Word,Category,Comment
ゆうこうき,有向木,名詞,
ゆうこうぐらふ,有向グラフ,名詞,
ゆうこうこみち,有向小道,名詞,
ゆうこうどう,有向道,名詞,
ゆうこうへいろ,有向閉路,名詞,
ゆうどうぶぶんぐらふ,誘導部分グラフ,名詞,
ゆうびんはいたついんもんだい,郵便配達員問題,名詞,
ようそ,要素,名詞,
ようりょう,容量,名詞,
ようりょうせいげん,容量制限,名詞,
りょういき,領域,名詞,
るーぷ,ループ,名詞,
れんけつ,連結,名詞,
れんけつせいぶん,連結成分,名詞,
わーしゃる・ふろいど,ワーシャル・フロイド,名詞,
わーしゃる・ふろいどのあるごりずむ,ワーシャル・フロイドのアルゴリズム,名詞,
わーしゃる・ふろいどほう,ワーシャル・フロイド法,名詞,
